year,annual_change
1991,5.960843932
1992,8.64604746
1993,8.072730657
1994,8.838980952
1995,9.540480175
1996,9.340017496
1997,8.152084143
1998,5.764455464
1999,4.773586881
2000,6.787316408
2001,6.192893312
2002,6.320820988
2003,6.899063492
2004,7.536410612
2005,7.547247727
2006,6.977954812
2007,7.129504484
2008,5.661771208
2009,5.397897543
2010,6.423238217
2011,6.240302749
2012,5.247367156
2013,5.421882991
2014,5.983654637
2015,6.679288789
2016,6.210811668
2017,6.81224566
2018,7.075788617
