year,gdp
1985,14094687820.7445
1986,26336616250.4397
1987,36658108850.3149
1988,25423812648.5941
1989,6293304974.59403
1990,6471740805.56984
1991,9613369520.41885
1992,9866990236.43587
1993,13180953598.1716
1994,16286433533.3228
1995,20736164458.9505
1996,24657470574.7501
1997,26843700441.5482
1998,27209602050.0452
1999,28683659006.7752
2000,31172518403.3162
2001,32685198735.3053
2002,35064105500.8345
2003,39552513316.0734
2004,45427854693.2554
2005,57633255618.2731
2006,66371664817.0436
2007,77414425532.2452
2008,99130304099.1274
2009,106014659770.222
2010,115931749697.241
2011,135539438559.709
2012,155820001920.492
2013,171222025117.381
2014,186204652922.262
2015,193241108709.536
2016,205276172134.901
2017,223779865815.183
2018,245213686369.157
