year,gdp_per_capita
1991,3.75105445264032
1992,6.42889560871292
1993,5.95489233810423
1994,6.84265731036172
1995,7.6991074075264
1996,7.67512112527974
1997,6.65953960651339
1998,4.43420890489696
1999,3.55377912419794
2000,5.61863407832779
2001,5.09852879360304
2002,5.2881733999659
2003,5.90250760755725
2004,6.55097632247292
2005,6.55963535512021
2006,5.98566940392919
2007,6.12360729814239
2008,4.65245943971411
2009,4.37064375270167
2010,5.36418076533876
2011,5.15973579385422
2012,4.15633378057983
2013,4.31719104743868
2014,4.87299904180681
2015,5.57139034213074
2016,5.12005124042108
2017,5.73062827265277
2018,6.01808839754494
