year,population
1985,60896721
1986,62293856
1987,63701972
1988,65120439
1989,66550234
1990,67988862
1991,69436954
1992,70883481
1993,72300308
1994,73651218
1995,74910461
1996,76068743
1997,77133214
1998,78115710
1999,79035871
2000,79910412
2001,80742499
2002,81534407
2003,82301656
2004,83062821
2005,83832661
2006,84617540
2007,85419591
2008,86243413
2009,87092252
2010,87967651
2011,88871561
2012,89802487
2013,90753472
2014,91714595
2015,92677076
2016,93638724
2017,94596642
2018,95540395
