year,gdp,annual_change,population,gdp_per_capita
2005,57633255618.2731,7.547247727,83832661,6.55963535512021
2006,66371664817.0436,6.977954812,84617540,5.98566940392919
2007,77414425532.2452,7.129504484,85419591,6.12360729814239
2008,99130304099.1274,5.661771208,86243413,4.65245943971411
2009,106014659770.222,5.397897543,87092252,4.37064375270167
2010,115931749697.241,6.423238217,87967651,5.36418076533876
2011,135539438559.709,6.240302749,88871561,5.15973579385422
2012,155820001920.492,5.247367156,89802487,4.15633378057983
2013,171222025117.381,5.421882991,90753472,4.31719104743868
2014,186204652922.262,5.983654637,91714595,4.87299904180681
2015,193241108709.536,6.679288789,92677076,5.57139034213074
2016,205276172134.901,6.210811668,93638724,5.12005124042108
2017,223779865815.183,6.81224566,94596642,5.73062827265277
2018,245213686369.157,7.075788617,95540395,6.01808839754494
