year,gdp,annual_change,population,gdp_per_capita
1985,14094687820.7445,3.805855668,60896721,1.44648573696371
1986,26336616250.4397,2.789291575,62293856,0.483919486978678
1987,36658108850.3149,3.583469633,63701972,1.29378320150566
1988,25423812648.5941,5.135011671,65120439,2.84493889371218
1989,6293304974.59403,7.364512893,66550234,5.05784566622711
1990,6471740805.56984,5.10091814,67988862,2.87700794076875
1991,9613369520.41885,5.960843932,69436954,3.75105445264032
1992,9866990236.43587,8.64604746,70883481,6.42889560871292
1993,13180953598.1716,8.072730657,72300308,5.95489233810423
1994,16286433533.3228,8.838980952,73651218,6.84265731036172
1995,20736164458.9505,9.540480175,74910461,7.6991074075264
1996,24657470574.7501,9.340017496,76068743,7.67512112527974
1997,26843700441.5482,8.152084143,77133214,6.65953960651339
1998,27209602050.0452,5.764455464,78115710,4.43420890489696
1999,28683659006.7752,4.773586881,79035871,3.55377912419794
2000,31172518403.3162,6.787316408,79910412,5.61863407832779
2001,32685198735.3053,6.192893312,80742499,5.09852879360304
2002,35064105500.8345,6.320820988,81534407,5.2881733999659
2003,39552513316.0734,6.899063492,82301656,5.90250760755725
2004,45427854693.2554,7.536410612,83062821,6.55097632247292
2005,57633255618.2731,7.547247727,83832661,6.55963535512021
2006,66371664817.0436,6.977954812,84617540,5.98566940392919
2007,77414425532.2452,7.129504484,85419591,6.12360729814239
2008,99130304099.1274,5.661771208,86243413,4.65245943971411
2009,106014659770.222,5.397897543,87092252,4.37064375270167
2010,115931749697.241,6.423238217,87967651,5.36418076533876
2011,135539438559.709,6.240302749,88871561,5.15973579385422
2012,155820001920.492,5.247367156,89802487,4.15633378057983
2013,171222025117.381,5.421882991,90753472,4.31719104743868
2014,186204652922.262,5.983654637,91714595,4.87299904180681
2015,193241108709.536,6.679288789,92677076,5.57139034213074
2016,205276172134.901,6.210811668,93638724,5.12005124042108
2017,223779865815.183,6.81224566,94596642,5.73062827265277
2018,245213686369.157,7.075788617,95540395,6.01808839754494
