Macrotrends Data Download

Vietnam GDP 1985-2020


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, GDP, Per Capita, Growth
date, GDP ( Billions of US $), Per Capita (US $), Annual % Change
1985-12-31,14.094687820744,231.4523,3.8059
1986-12-31,26.33661625044,422.7803,2.7893
1987-12-31,36.658108850315,575.4627,3.5835
1988-12-31,25.423812648594,390.4122,5.135
1989-12-31,6.293304974594,94.5647,7.3645
1990-12-31,6.4717408055698,95.1883,5.1009
1991-12-31,9.6133695204189,138.4475,5.9608
1992-12-31,9.8669902364359,139.2001,8.646
1993-12-31,13.180953598172,182.3084,8.0727
1994-12-31,16.286433533323,221.1292,8.839
1995-12-31,20.736164458951,276.8127,9.5405
1996-12-31,24.65747057475,324.1472,9.34
1997-12-31,26.843700441548,348.0174,8.1521
1998-12-31,27.209602050045,348.3243,5.7645
1999-12-31,28.683659006775,362.9195,4.7736
2000-12-31,31.172518403316,390.0933,6.7873
2001-12-31,32.685198735305,404.8079,6.1929
2002-12-31,35.064105500835,430.0529,6.3208
2003-12-31,39.552513316073,480.5798,6.8991
2004-12-31,45.427854693255,546.9096,7.5364
2005-12-31,57.633255618273,687.4797,7.5472
2006-12-31,66.371664817044,784.3724,6.978
2007-12-31,77.414425532245,906.2842,7.1295
2008-12-31,99.130304099127,1149.4246,5.6618
2009-12-31,106.01465977022,1217.2686,5.3979
2010-12-31,115.93174969724,1317.8907,6.4232
2011-12-31,135.53943855971,1525.116,6.2403
2012-12-31,155.82000192049,1735.1413,5.2474
2013-12-31,171.22202511738,1886.6719,5.4219
2014-12-31,186.20465292226,2030.262,5.9837
2015-12-31,193.24110870954,2085.1015,6.6793
2016-12-31,205.2761721349,2192.2145,6.2108
2017-12-31,223.77986581518,2365.6217,6.8122
2018-12-31,244.94844530888,2563.8207,7.0758
